"code","type","attribute","unit","profiles","layers","description"
TOTC,Horizon,Total carbon (C),g/kg,13952,69557,Gravimetric content of organic carbon and inorganic carbon in the fine earth fraction*
WG0006,Horizon,Water retention gravimetric - 6 kPa,g/100g,854,4247,"Soil moisture content by weight, at tension 6 kPa (pF 1.8)"
WG0010,Horizon,Water retention gravimetric - 10 kPa,g/100g,2937,13396,"Soil moisture content by weight, at tension 10 kPa (pF 2.0)"
WG0033,Horizon,Water retention gravimetric - 33 kPa,g/100g,20432,93317,"Soil moisture content by weight, at tension 33 kPa (pF 2.5)"
WG0100,Horizon,Water retention gravimetric - 100 kPa,g/100g,686,3739,"Soil moisture content by weight, at tension 100 kPa (pF 3.0)"
WG0200,Horizon,Water retention gravimetric - 200 kPa,g/100g,4279,27598,"Soil moisture content by weight, at tension 200 kPa (pF 3.3)"
WG0500,Horizon,Water retention gravimetric - 500 kPa,g/100g,336,1703,"Soil moisture content by weight, at tension 500 kPa (pF 3.7)"
WG1500,Horizon,Water retention gravimetric - 1500 kPa,g/100g,33858,183890,"Soil moisture content by weight, at tension 1500 kPa (pF 4.2)"
WV0006,Horizon,Water retention volumetric - 6 kPa,cm³/100cm³,7,15,"Soil moisture content by volume, at tension 6 kPa (pF 1.8)"
WV0010,Horizon,Water retention volumetric - 10 kPa,cm³/100cm³,804,2878,"Soil moisture content by volume, at tension 10 kPa (pF 2.0)"
WV0033,Horizon,Water retention volumetric - 33 kPa,cm³/100cm³,3577,13500,"Soil moisture content by volume, at tension 33 kPa (pF 2.5)"
WV0100,Horizon,Water retention volumetric - 100 kPa,cm³/100cm³,491,1392,"Soil moisture content by volume, at tension 100 kPa (pF 3.0)"
WV0200,Horizon,Water retention volumetric - 200 kPa,cm³/100cm³,3,9,"Soil moisture content by volume, at tension 200 kPa (pF 3.3)"
WV0500,Horizon,Water retention volumetric - 500 kPa,cm³/100cm³,705,1771,"Soil moisture content by volume, at tension 500 kPa (pF 3.7)"
WV1500,Horizon,Water retention volumetric - 1500 kPa,cm³/100cm³,3993,14368,"Soil moisture content by volume, at tension 1500 kPa (pF 4.2)"
